id,x,y,z,colorb_v,lum,absmag,appmag,texnum,distly,dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,name
94336,42.5985,1.267,-68.3116,0.82,32.64051,0.94,5.47,1,262.48,1,12.42,5.96,28.907,-28.4,-62.054,74.114,110936,HIP110936 HD212953 Gli Nu Gru 
74790,2185.7334,2741.3572,1501.8143,0.317,73248.85938,-7.44,5.47,1,12434.2,2,1.02,57.84,-111.038,22.841,-75.892,136.422,87747,HIP87747 HD163506 Gli 89Her 
87633,43.1424,180.314,-23.731,1.137,175.91081,-0.89,5.47,1,609.35,1,5.35,10.84,-13.531,-17.435,34.496,40.951,103145,HIP103145 HD199101 Gli  
70273,45.201,21.3029,29.0568,0.095,16.66893,1.67,5.48,1,188.44,1,17.3,4.45,4.007,7.383,-12,14.648,82402,HIP82402 HD151956 Gli 47Her 
70049,108.8656,-30.2802,7.5515,0.902,63.98506,0.21,5.48,1,369.2,1,8.83,10.53,0.282,-11.445,3.664,12.021,82135,HIP82135 HD151078 Gli  
70746,217.9717,-36.3158,23.4995,1.137,246.36272,-1.25,5.48,1,724.44,1,4.5,19.78,-66.949,11.237,-15.328,69.595,82960,HIP82960 HD152820 Gli 27Sco 
65633,7.4216,62.7151,73.7408,-0.005,47.02465,0.54,5.48,1,316.5,1,10.3,4.85,-27.33,-29.008,-0.19,39.856,76957,HIP76957 HD140728 Gli  
89893,66.5923,77.1107,-72.6879,1.086,78.14594,-0.01,5.48,1,408.01,1,7.99,10.51,21.561,-18.95,-10.324,30.505,105767,HIP105767 HD203926 Gli 21Aqr 
48532,2.2842,-18.6137,19.4013,0.451,3.63236,3.32,5.48,1,87.97,1,37.06,2.05,3.353,37.093,-16.649,40.796,56802,HIP56802 HD101198 Gli Iot Crt 
32458,-19.1847,-23.1208,3.5094,0.396,4.56451,3.08,5.48,1,98.61,1,33.06,2.54,-23.51,-6.739,-7.517,25.586,38048,HIP38048 HD63336 Gli 5Pup 
87081,76.9248,3.9142,-60.8097,-0.03,48.04538,0.52,5.48,1,319.92,1,10.19,8.24,-26.592,-5.326,-5.374,27.648,102497,HIP102497 HD197630 Gli  
21424,-35.3543,-24.7244,-21.7901,0.82,11.65411,2.06,5.48,1,157.56,1,20.69,3.77,-57.932,-47.488,-42.73,86.238,24679,HIP24679 HD34538 Gli  
36425,-29.3256,-493.8152,-31.2387,-0.211,1225.70569,-3,5.48,1,1615.89,2,1.93,29.53,-11.668,-33.903,-9.679,37.138,42712,HIP42712 HD74455 Gli  
89808,28.9198,23.1116,-30.6739,0.266,11.53117,2.07,5.48,1,156.73,1,20.8,4.38,-18.545,-1.873,-11.528,21.916,105668,HIP105668 HD203705 Gli 18Aqr 
32901,-77.8604,-232.3601,-17.7524,-0.196,301.16962,-1.47,5.48,1,800.98,1,4.07,12.78,-11.51,-21.907,-4.802,25.208,38593,HIP38593 HD64802 Gli  
67598,-55.8539,156.2398,118.8225,-0.03,207.78195,-1.07,5.48,1,665.31,1,4.9,9.39,-11.383,-2.57,-6.308,13.265,79280,HIP79280 HD146926 Gli 19UMi 
38064,-78.494,12.7673,71.1731,0.423,56.82256,0.34,5.48,1,347.92,1,9.37,8,-3.007,-8.967,-5.904,11.149,44613,HIP44613 HD77601 Gli  
68218,8.5177,16.8025,19.0858,0.342,3.58769,3.34,5.48,1,87.42,1,37.29,1.39,-15.693,-31.693,-11.89,37.31,80008,HIP80008 HD147365 Gli  
62360,120.6422,-31.5356,108.0806,1.086,135.84848,-0.61,5.48,1,537.95,1,6.06,13.04,7.607,6.79,5.691,11.677,73133,HIP73133 HD131918 Gli Xi2 Lib 
