33608,-90.109,-360.7572,-30.6066,-0.428,14113.86719,-5.65,2.21,1,1216.3,2,2.33,21.89,-25.779,63.218,-36.167,77.26,39429,HIP39429 HD66811 Gli Zet Pup  Naos
38870,30.9983,-208.4343,-25.9151,0.217,4570.44092,-4.42,2.21,1,692.14,1,4.71,9.77,-16.088,-1.546,-11.645,19.92,45556,HIP45556 HD80404 Gli Iot Car  Scutulum
65032,10.0822,9.0367,18.4806,0.021,52.7268,0.42,2.22,1,74.68,1,43.65,1.81,15.704,6.073,-3.302,17.158,76267,HIP76267 HD139006 Gli Alp CrB  Alphecca
38236,-12.4436,-175.0923,8.6504,1.086,3074.50684,-3.99,2.23,1,572.93,1,5.69,9.31,-17.447,-7.073,-10.942,21.775,44816,HIP44816 HD78647 Gli Lam Vel  Suhail
55850,-4.4768,10.49,21.0754,0.071,57.16145,0.33,2.23,1,78.12,1,41.73,1.46,13.539,4.522,-5.011,15.128,65378,HIP65378 HD116656 Gli Zet1 UMa  Mizar
85335,78.7445,375.244,12.4995,0.48,14648.88379,-5.69,2.23,1,1250.6,2,2.14,23.83,-2.571,-5.98,-4.818,8.098,100453,HIP100453 HD194093 Gli Gam Cyg  Sadr
2738,-36.3073,59.4424,-7.6926,0.902,484.34186,-1.99,2.24,1,228.45,1,14.27,3.99,-13.183,-10.353,-11.039,20.07,3179,HIP3179 HD3712 Gli Alp Cas  Schedar
74856,7.4982,38.7737,22.0871,1.137,201.93677,-1.04,2.24,1,147.51,1,22.1,2.08,0.245,-24.981,-12.315,27.853,87833,HIP87833 HD164058 Gli Gam Dra  Eltanin
22455,-203.7249,-90.0905,-71.2596,-0.273,5345.2998,-4.59,2.25,1,762.44,2,3.56,23.31,-18.009,-8.521,-4.4,20.403,25930,HIP25930 HD36486 Gli Del Ori  Mintaka
649,-7.7043,14.7828,-0.9546,0.317,26.50278,1.17,2.28,1,54.43,1,59.89,0.94,-42.213,-4.461,-21.74,47.691,746,HIP746 HD432 Gli Bet Cas  Caph
70267,19.5501,-3.8667,2.2918,0.991,37.90266,0.78,2.29,1,65.4,1,49.85,1.62,5.555,-48.718,40.613,63.668,82396,HIP82396 HD151680 Gli Eps Sco 
56924,73.489,-86.9883,17.4683,-0.226,1250.14526,-3.02,2.29,1,375.58,1,8.68,8.87,-0.091,-12.955,0.843,12.983,66657,HIP66657 HD118716 Gli Eps Cen 
66840,112.0906,-19.5696,47.1098,-0.251,1428.52551,-3.16,2.29,1,401.48,1,8.12,10.84,9.093,-14.074,-0.681,16.77,78401,HIP78401 HD143275 Gli Del Sco  Dscubba
61263,129.1166,-102.2983,33.3251,-0.211,2636.12549,-3.83,2.3,1,547.9,1,5.95,12.77,6.669,-29.078,5.477,30.331,71860,HIP71860 HD129056 Gli Alp Lup 
60838,72.1657,-54.8288,27.1378,-0.226,812.54993,-2.55,2.33,1,308.42,1,10.57,7.85,0,0,0,0,71352,HIP71352 HD127972 Gli Eta Cen 
46070,-12.0503,7.1931,19.8974,0.046,53.32743,0.41,2.34,1,79.38,1,41.07,1.46,14.432,2.439,-8.568,16.96,53910,HIP53910 HD95418 Gli Bet UMa  Merak
61480,21.1755,17.3842,58.1807,0.021,368.5863,-1.69,2.35,1,209.65,1,15.55,5.02,-20.313,-12.223,-11.543,26.368,72105,HIP72105 HD129988 Gli  
91216,72.7394,160.1361,-107.6007,0.991,3685.67065,-4.19,2.38,1,672.16,1,4.85,17.32,-21.861,0.91,-20.933,30.281,107315,HIP107315 HD206778 Gli Eps Peg  Enif
73886,140.0367,-22.0706,-11.7028,-0.211,1738.15845,-3.38,2.39,1,463.73,1,7.03,10.38,0.181,-8.94,-0.271,8.946,86670,HIP86670 HD160578 Gli Kap Sco 
1798,5.0172,-4.2096,-22.8088,0.902,47.93039,0.52,2.4,1,77.36,1,42.14,1.85,8.657,-47.549,-108.049,118.366,2081,HIP2081 HD2261 Gli Alp Phe  Ankaa
49534,-9.5242,7.7567,22.5149,0.021,55.47451,0.36,2.41,1,83.61,1,38.99,1.74,16.253,2.873,-9.285,18.938,58001,HIP58001 HD103287 Gli Gam UMa  Phecda
71643,24.8541,2.929,6.2434,0.083,55.08183,0.37,2.43,1,84.09,1,38.77,2.22,-12.76,7.548,-3.098,15.146,84012,HIP84012 HD155125 Gli Eta Oph  Sabik
96801,-5.3484,53.1365,-29.6576,1.542,306.12766,-1.49,2.44,1,199.14,1,16.37,4.4,-64.366,-14.092,10.372,66.702,113881,HIP113881 HD217906 Gli Bet Peg  Scheat
30696,-446.8099,-862.5871,-110.4326,-0.11,77697.73438,-7.5,2.45,1,3187.29,2,1.02,55.88,-26.197,-1.909,-10.042,28.121,35904,HIP35904 HD58350 Gli Eta CMa  Aludra
89412,-2.8178,14.4985,2.3848,0.192,18.19395,1.58,2.45,1,48.77,1,66.84,0.73,-7.591,-13.245,-7.434,16.98,105199,HIP105199 HD203280 Gli Alp Cep  Alderamin
39193,16.9068,-164.1057,-10.1981,-0.196,2180.16406,-3.62,2.47,1,538.84,1,6.05,7.93,-6.568,-14.273,-4.989,16.485,45941,HIP45941 HD81188 Gli Kap Vel  Markab Velorum
87074,5.3372,21.3271,-2.2002,0.902,38.59855,0.76,2.48,1,72.03,1,45.26,1.17,-53.605,-15.834,-7.782,56.434,102488,HIP102488 HD197989 Gli Eps Cyg  Gienah Cygni
96871,0.9791,32.5947,-27.7339,0.008,143.56691,-0.67,2.49,1,139.55,1,23.36,3.25,-7.288,-5.59,-11.634,14.823,113963,HIP113963 HD218045 Gli Alp Peg  Markab
12182,-46.8938,5.4956,-48.2062,1.542,340.64627,-1.61,2.54,1,219.97,1,14.82,5.6,16.77,-12.19,-4.915,21.306,14135,HIP14135 HD18884 Gli Alp Cet  Menkar
69410,127.9419,14.0822,56.2015,-0.273,1475.84265,-3.2,2.54,1,457.87,1,7.12,9.97,-21.797,11.872,-9.654,26.632,81377,HIP81377 HD149757 Gli Zet Oph 
58048,79.5153,-82.1435,28.9131,-0.181,1030.88074,-2.81,2.55,1,384.43,1,8.48,8.73,-3.728,-44.978,6.761,45.636,68002,HIP68002 HD121263 Gli Zet Cen 
67197,147.9519,-17.6616,65.0968,-0.242,1942.00269,-3.5,2.56,1,530.08,1,6.15,18.21,13.81,-13.59,2.47,19.532,78820,HIP78820 HD144217 Gli Bet1 Sco  Graffias
46893,-4.9889,-4.8562,16.2655,0.119,22.993,1.32,2.56,1,57.68,1,56.52,1.47,18.463,-0.207,-9.935,20.968,54872,HIP54872 HD97603 Gli Del Leo  Zozma
80894,-7.6854,63.5452,25.4184,0.071,53.21901,0.41,4.6,1,224.52,1,14.52,3.17,-10.676,-31.423,-12.116,35.33,95081,HIP95081 HD182564 Gli Pi Dra 
61496,31.0602,9.9327,60.8769,0.902,53.51345,0.4,4.6,1,225.14,1,14.48,5.46,-3.551,-23.411,6.415,24.532,72125,HIP72125 HD129972 Gli Omi Boo 
42197,-21.4598,-67.8996,46.3424,-0.03,80.99292,-0.05,4.6,1,276.98,1,11.77,6.71,-19.72,-14.125,3.969,24.579,49402,HIP49402 HD87504 Gli Ups2 Hya 
45719,8.8025,-56.5019,21.1679,0.902,41.71693,0.67,4.6,1,198.78,1,16.4,3.96,31.833,-27.704,7.157,42.803,53502,HIP53502 HD94890 Gli Iot Ant 
64382,98.7923,-50.1452,29.6107,0.021,147.55945,-0.7,4.6,1,373.85,1,8.72,15.37,-9.98,-20.526,12.57,26.056,75501,HIP75501 HD137058 Gli  
1189,-30.7391,64.1015,-31.2096,0.071,67.0144,0.16,4.61,1,253.11,1,12.88,10.17,16.638,10.415,-4.543,20.148,1366,HIP1366 HD1280 Gli The And 
12797,-78.1591,44.7041,-25.3661,0.946,97.28471,-0.25,4.61,1,304.96,1,10.69,7.48,1.572,11.911,-6.096,13.473,14817,HIP14817 HD19656 Gli Ome Per 
64995,23.4036,-1.9498,16.9318,0.946,9.3187,2.3,4.61,1,94.38,1,34.54,2.26,87.837,7.616,6.643,88.417,76219,HIP76219 HD138716 Gli 37Lib 
86190,71.5881,275.3758,-14.5434,0.991,902.37225,-2.66,4.61,1,928.77,1,3.51,18.52,6.632,-2.83,-1.345,7.335,101474,HIP101474 HD196093 Gli 47Cyg 
384,-1.0523,16.0334,-35.976,0.946,17.25904,1.63,4.61,1,128.45,1,25.38,4.14,-3.632,1.839,21.997,22.371,443,HIP443 HD28 Gli 33Psc 
7616,-28.6233,15.4518,-48.5573,0.902,37.97518,0.78,4.61,1,190.53,1,17.11,4.5,-19.734,6.153,-17.134,26.849,8833,HIP8833 HD11559 Gli Xi Psc 
33328,-39.3914,-61.0391,7.6332,0.046,59.3189,0.29,4.61,1,238.13,1,13.69,5.92,4.945,-1.33,-6.169,8.017,39095,HIP39095 HD65810 Gli  
30885,-67.3769,13.4468,33.1333,0.046,64.68365,0.2,4.61,1,248.67,1,13.11,6.03,-35.905,-8.717,7.795,37.762,36145,HIP36145 HD58142 Gli 21Lyn 
46402,40.8301,-105.6988,-3.922,0.82,141.59988,-0.65,4.62,1,369.61,1,8.82,5.78,-20.482,0.005,-6.562,21.507,54301,HIP54301 HD96566 Gli  
79081,32.1979,24.4552,0.6029,0.144,18.01158,1.59,4.62,1,131.82,1,24.73,6.51,-44.393,-25.155,-5.562,51.327,92946,HIP92946 HD175638 Gli The1 Ser  Alya
16176,-52.6869,-43.659,-74.9991,-0.63,113.53443,-0.41,4.62,1,330.96,1,9.85,6.9,-15.226,-8.705,-9.162,19.788,18673,HIP18673 HD25267 Gli Tau9 Eri 
48257,52.3477,-130.9273,17.1658,-0.005,222.25662,-1.14,4.62,1,463.07,1,7.04,8.24,-37.441,-7.619,-8.791,39.206,56480,HIP56480 HD100673 Gli  
53243,64.3212,-102.0255,13.4775,-0.167,162.23543,-0.8,4.62,1,395.63,1,8.24,7.28,-2.901,-31.826,-0.047,31.958,62327,HIP62327 HD110956 Gli  
68770,33.2525,3.9298,16.8737,0.095,15.48653,1.75,4.62,1,122.23,1,26.67,3.26,-31.964,-12.261,-6.66,34.877,80628,HIP80628 HD148367 Gli Ups Oph 
53816,60.5426,-92.0105,7.1661,-0.138,134.19724,-0.59,4.62,1,359.82,1,9.06,6.62,-3.957,-26.498,-0.581,26.798,63007,HIP63007 HD112078 Gli Lam Cru 
38242,-43.1651,-138.1138,37.479,1.086,246.12053,-1.25,4.62,1,487.29,1,6.69,10.46,30.721,42.29,7.704,52.836,44824,HIP44824 HD78541 Gli Kap Pyx 
77454,223.1963,-28.9108,-59.4778,0.706,596.92474,-2.21,4.62,1,758.89,2,3.76,23.14,10.004,4.508,-41.205,42.641,90982,HIP90982 HD170845 Gli The CrA 
20412,-48.8668,-0.6579,-10.4454,0.192,27.51097,1.13,4.62,1,162.92,1,20.01,4.55,-47.646,-17.064,-1.298,50.626,23497,HIP23497 HD32301 Gli Iot Tau 
3804,-34.8668,52.473,-4.0562,0.82,43.90254,0.62,4.62,1,205.81,1,15.84,3.66,48.54,-22.364,-11.049,54.574,4422,HIP4422 HD5395 Gli Ups2 Cas 
75125,20.9383,9.2059,3.8622,0.342,5.92712,2.79,4.62,1,75.62,1,43.11,1.74,-41.93,-12.739,-24.47,50.192,88175,HIP88175 HD164259 Gli Zet Ser 
22451,-359.6535,-211.307,-159.9792,-0.257,2198.61353,-3.63,4.62,1,1456.44,2,2.11,35.07,-16.321,-15.593,-12.565,25.835,25923,HIP25923 HD36512 Gli Ups Ori 
46296,-6.2172,-14.0554,24.5359,0.317,9.23327,2.31,4.62,1,94.38,1,34.54,2.52,-41.321,-23.754,-13.222,49.462,54182,HIP54182 HD96097 Gli Chi Leo 
66205,144.3004,-35.7171,59.1751,-0.211,279.40872,-1.39,4.63,1,521.6,1,6.25,14.56,8.6,-17.316,4.528,19.857,77635,HIP77635 HD141637 Gli 1Sco 
38777,-6.5459,-49.8646,7.0721,0.342,28.15195,1.1,4.63,1,165.57,1,19.69,2.79,1.958,-7.51,2.963,8.308,45448,HIP45448 HD79940 Gli  
78716,1.0987,90.8607,38.8249,0.902,106.57098,-0.34,4.63,1,322.13,1,10.12,4.25,-20.821,-8.077,-39.448,45.331,92512,HIP92512 HD175306 Gli Omi Dra 
67065,35.7027,-23.7702,-2.9379,0.192,20.17347,1.46,4.63,1,140.15,1,23.26,4.21,-10.36,-18.887,12.868,25.092,78662,HIP78662 HD143474 Gli Iot1 Nor 
36527,-103.366,-138.6241,66.275,0.603,374.29361,-1.71,4.63,1,603.7,1,5.4,17.78,-24.405,-24.118,3.195,34.46,42835,HIP42835 HD74395 Gli  
11991,-70.4597,27.4812,-48.2059,0.071,87.79105,-0.13,4.63,1,292.38,1,11.15,13.27,8.88,0.176,-0.836,8.921,13914,HIP13914 HD18519 Gli  
52781,50.9442,-86.3862,42.2206,-0.03,129.23167,-0.55,4.63,1,354.73,1,9.19,9.25,-4.714,-35.049,4.504,35.651,61789,HIP61789 HD110073 Gli  
100458,-32.825,101.9329,-78.2423,1.609,191.98055,-0.98,4.63,1,432.36,1,7.54,9.15,26.275,6.138,-11.994,29.528,118131,HIP118131 HD224427 Gli Psi Peg 
62417,-21.534,81.095,88.4985,1.748,162.3201,-0.8,4.63,1,397.56,1,8.2,6.34,-42.369,-22.708,13.719,49.99,73199,HIP73199 HD132813 Gli  
77301,121.4857,-62.3918,-53.9567,-0.03,235.34543,-1.2,4.63,1,478.71,1,6.81,11.01,72.122,-45.604,-35.403,92.384,90797,HIP90797 HD169978 Gli Nu Pav 
56995,-25.4552,77.514,147.2596,1.542,309.33362,-1.5,4.63,1,548.82,1,5.94,11.28,-4.251,-22.008,-5.925,23.184,66738,HIP66738 HD119228 Gli 83UMa 
32826,-24.9659,-215.1073,-42.8525,-0.211,531.86755,-2.09,4.63,1,719.65,1,4.53,11.48,-8.194,8.434,-3.908,12.392,38500,HIP38500 HD64740 Gli  
32137,-131.7032,-268.6041,-12.1317,1.137,978.37891,-2.75,4.63,1,976.05,1,3.34,17.66,-24.331,16.327,-6.001,29.91,37648,HIP37648 HD62576 Gli 1Pup 
15782,-59.2393,-49.6994,-89.4019,-0.11,151.09821,-0.72,4.64,1,385.34,1,8.46,8.87,-19.107,-24.333,-9.49,32.361,18216,HIP18216 HD24587 Gli Tau8 Eri 
70243,34.2042,4.8302,13.2072,0.451,14.79063,1.8,4.64,1,120.56,1,27.04,3.99,17.164,4.317,-13.765,22.421,82369,HIP82369 HD151769 Gli 20Oph 
86287,34.9861,57.3923,-18.2082,0.095,52.44344,0.43,4.64,1,227.02,1,14.36,5.22,-25.021,-19.707,-3.171,32.007,101589,HIP101589 HD196180 Gli Zet Del 
